pIC50,maxaasN,ATS5m,ATS5v,ATS6e,ATS6p,ATS6i,ATS4s,AATS6m,AATS5v,AATS5e,AATS6p,AATS5i,AATS5s,ATSC8c,ATSC5m,ATSC4v,ATSC5e,ATSC6p,ATSC8i,ATSC3s,AATSC8c,AATSC4m,AATSC4v,AATSC3e,AATSC4p,AATSC2i,AATSC5s,MATS8c,MATS4m,MATS4v,MATS5e,MATS4p,MATS8i,MATS5s,GATS5c,GATS5m,GATS4v,GATS5e,GATS5p,GATS6i,GATS5s,VR3_DzZ,VR3_Dzm,VR3_Dzv,VE2_Dze,VR3_Dzp,VE2_Dzi,VR3_Dzs,SpMax6_Bhm,SpMax4_Bhv,SpMax4_Bhe,SpMax4_Bhp,SpMax4_Bhi,SpMax5_Bhs,SP-2,ASP-3,VP-0,AVP-7,SsOH,nHdsCH,nsOH,SHdsCH,minHBint10,minsF,maxHBint10,maxsF,ETA_EtaP_F,IC0,TIC0,SIC3,CIC3,BIC3,MIC5,ZMIC5,khs.aasN,MDEC-34,MDEO-12,MDEN-23,MLFER_A,MPC4,piPC2,nF12Ring,GGI3,JGI3,MWC10,SRW10,WTPT-4
,0.0,6364.792322649602,17990.07060084769,668.9594200000001,119.76872868879182,13891.329279755975,363.1944444444445,64.32552421118157,174.66087961988046,7.808577708737874,1.376652053894159,169.68222061000063,3.2785868392664503,0.082289825,233.82298750785088,112.61755978965846,0.4808782224866129,-5.291898721,-84.47220848,20.08116861656423,0.001082761,0.4356023407651774,0.987873331488232,-0.000852,-0.004116406,0.7665957719278604,0.1269548308495161,0.073503232,0.0110871690637392,0.0209172525688018,0.03350391,-0.017605469,-0.362715688,0.040672969,0.907237956,0.8868803659126206,0.9723852540185004,0.700777014,0.7484373842095664,0.8104720140383107,0.6122433140507272,14.40758464092284,14.394292705320842,14.983176466152058,0.00964755,14.601147710220229,0.007359428,14.222815829941474,2.781092916675539,3.0899899206112056,3.298171972862226,3.0542171174821755,3.344897226725016,3.689888827922765,11.478057285363786,0.1678480886702653,13.21527654091146,0.005751421,0.0,0,0,0.0,0.0,13.017406284292107,0.0,13.017406284292107,0.96831,1.6568538557235717,67.93100808466643,0.856551818,0.7685310976665098,0.8070026345754555,39.778602623982366,30.638610737497466,1,1.540669567683089,0.0,0.9654893846056296,0.003,75,4.252060308213856,0,1.5555555555555554,0.037940379403794,12.214214411221796,10.340289815953332,0.0
,0.0,12621.775264999997,40188.07393072286,2053.214464000001,297.6597436048271,44291.68842269586,717.9722222222218,41.76997932592581,158.2207635067829,7.606258094488186,1.1024434948326929,160.3462229646407,2.69679571303587,0.2118016534136316,-252.2808157,-499.3730671,1.276686941155564,3.417560715653912,15.694850553696764,0.6928246913580236,0.0008825068892234651,-3.009522269,-2.080721113,-0.007733205,0.003692251,-0.063383106,0.067350826,0.056420103,-0.083914696,-0.041889147,0.058806426,0.016408471,0.046692651,0.0470272670852723,0.9415816616483966,1.0004057001427191,1.0050547713034177,0.8798702807193209,1.1466713438956229,0.8812638132186882,0.860121428,23.52651305512186,23.526996837823635,26.180491022304707,0.002389974,23.672386765029508,0.003021114,24.792143857757928,3.295137636599494,3.5450471171575395,3.661373776223929,3.552377088752056,3.703141227195162,3.936183424521763,17.151429815250868,0.1714463171155592,22.61494872915131,0.009113174,9.764270771564073,0,1,0.0,2.7582470961728625,0.0,3.7293656840627705,0.0,0.91987,1.5102068785830656,113.26551589372993,0.8886057370788243,0.6938546668974315,0.8557980199530598,42.977181257500256,25.590287740922733,0,3.6678115797910578,1.2928229114065508,0.0,1.063,118,4.548599834499697,0,4.0347222222222205,0.058474235,12.66286121423755,10.77404843270411,16.909541895249138
4.835349784,0.0,31507.51599400007,86087.25451222566,4830.322887999948,690.8948617520123,102023.80226277256,1786.222222222221,54.31082580844242,155.3921561592521,7.901355595667832,1.1215825677792408,166.08429327512272,4.081528279181706,0.7000367534408535,1345.5992868853411,1412.189251011144,9.282976470743987,-1.506426827,-8.294466216,-30.28903377,0.00094344575935425,2.9587010425354565,2.6898842876402744,0.005467728,0.001818947,-0.201292866,0.4595594588631477,0.0432245769302888,0.07940631,0.057725213,0.1692485852100725,0.008899238,-0.00849562,0.187232908732565,1.0262598037778268,0.9660177095319278,0.933514216077166,0.9734444317884916,1.0049535519261803,1.0511115822243873,1.0077127738169045,61.31350641,61.33500976702266,58.74904466856384,0.0136504006210876,61.062949104312544,0.0143386233950659,60.623898212189125,3.6001164914409745,3.6294595249015393,3.779141051026886,3.645404506096208,3.819709437961629,5.152351953984849,32.77924034100128,0.1880255436570461,44.96660875296275,0.0104330432286102,89.38804458422214,0,8,0.0,0.1992672966433176,0.0,6.881746540491863,0.0,1.25419,1.5682889556614503,258.7676776841393,0.848147219,1.118596515335084,0.8357341465696269,46.8921867,34.432013929799155,0,0.0,0.0,2.257030295717221,1.202000000000001,173,4.901564199041894,0,6.847222222222221,0.054343034,12.92019578437204,11.065716062153715,38.17227502397832
4.301029996,0.0,7599.999782000003,24381.996292350075,931.3319160000004,154.90608240782916,19413.734348287377,319.9999999999999,50.86496072357727,193.50790708214345,7.669496063492066,1.2593990439660907,154.41711668396192,2.6684303350970016,-0.030168532,-829.1333307,-1052.845438,-0.435865901,-5.174769279,-13.36497523,3.502252640036734,-0.000377,-5.228223206,-9.400405696,0.003134784,-0.042438701,0.5978885893967762,-0.06742365,-0.022984325,-0.152390225,-0.188920305,-0.039162384,-0.18034114,-0.116440464,-0.130899433,0.915527055563294,1.123646537027618,1.121786558898755,0.8904475317158717,1.1254395834831588,1.118402230727773,0.9965547079394268,15.649615452323426,15.649994615375952,16.240506216319055,0.0002101295188913798,19.76661587710362,0.00033057996199925343,15.18436249050922,2.969908497,3.2264314900880144,3.382553403571978,3.219089185938337,3.429823571912397,3.2693340462614446,11.523433387806683,0.1600719607134838,15.08865860855593,0.00685154,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.05801,1.4754017117210338,64.91767531572549,0.8542158013086897,0.7958988638330418,0.7944195935981312,42.82193096632186,24.12433252417956,1,0.0,0.0,0.0,0.003,99,4.483002552013883,0,2.256944444444444,0.044253813,12.48560787237118,10.547470749064702,11.82505131561858
,0.0,6631.817040000007,18149.443604368204,728.5607480000014,135.2366771,15774.392088207704,194.83230452674897,54.39607468686877,187.10766602441447,7.332661494845371,1.3660270414785454,153.85193856095947,1.9604257114439123,0.0233946240234805,396.7043717956252,701.3301121107327,0.2137665624999988,-0.406752416,-12.5711279,-2.904906645,0.00032492533365945146,2.187121585624996,6.6793344010545965,-0.003000306,0.028271737109862,0.3996507007251795,0.007478732,0.051662074,0.033559052,0.1186037518179569,0.06304295,0.086824925,-0.112635747,0.037614456,0.6952344502223674,0.7964319333528139,0.8601883129370632,0.6317244238561384,1.0107117526333245,0.9644201037010632,0.872469349,10.671848391352938,10.671549721469828,10.562724391723345,0.0248327952605769,10.539319493672046,0.0229673210688163,10.770882956588911,2.9214566467907126,3.0684073680232355,3.2700450511044896,3.079378232330805,3.3528573044849144,2.8363547815448817,9.274857208114032,0.173868541227329,13.915837709306214,0.0136041498961666,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.76419,1.5169908184702647,60.67963273881059,0.8519813945128384,0.7877443751081739,0.811855714,39.92972386525373,27.671198723419504,0,0.0,0.0,0.0,0.003,58,3.970291913552122,0,1.375,0.0416666666666666,11.829435490133816,10.02424394117191,0.0
5.012333735,0.0,18376.415225930006,23782.81372754548,734.170436,175.89342393909408,14285.238192484409,395.3112367407407,124.59100544752692,230.90110415092695,7.803608427184472,1.891327139130044,154.99280979229803,3.514133525,-0.148450996,2672.1081857264785,89.1225671,-0.226934271,-7.379381303,9.983709639,-5.732954954,-0.001746482,110.98197148914402,0.825208955,-0.008152563,0.1594829148247216,-0.023686397,-0.208927469,-0.129219325,0.1694216961629009,0.0138849606237517,-0.028945477,0.1663103200301273,0.075370066,-0.123203904,1.1188240309386035,0.6370325470174588,0.9077856797446694,1.0668455441990268,0.8093244970392082,0.9494073038296372,1.434007850400348,18.33639469,18.337205105875583,18.05959413086036,0.00013174387032893569,17.069602002812324,0.00039142839375994607,20.31612330197502,3.470915777856955,3.287842658334409,3.3985095888494645,3.7655464504708096,3.4333361072823303,3.7768081907962494,13.23177899736758,0.1828087358818801,21.337540270596875,0.008537671,10.390802871440435,0,1,0.0,0.3092179804987062,0.0,0.3092179804987062,0.0,1.08965,1.836466515936684,80.80452670121409,0.9552280752856434,0.2444292614128071,0.8902388658416808,81.42111291921869,40.72964457626461,0,0.0,0.0,0.0,0.2020000000000001,76,4.424846632,0,2.75,0.053921569,12.095146671399466,10.351213619358802,5.092437295351321
5.132532512,0.0,18332.029961930013,23436.929816787007,713.1337639999998,170.76792417424508,13805.077129359086,401.78634785185193,127.17689609844444,239.1523450692552,7.810888693877557,1.8974213797138344,153.6579198953352,3.596741244646008,-0.145175743,2375.799867147135,428.35421090138186,-0.062965431,-4.448809087,13.213047249818834,-6.7028831,-0.001792293,130.46521495317873,4.118790489436364,-0.008551064,0.203661474242548,-0.02626707,-0.212753525,-0.143302612,0.1960137730951755,0.070699512,-0.008352493,0.2109015625016756,0.1049319410948971,-0.109960252,1.032781776842456,0.6547327428895418,0.8482412841336214,1.0108392869941374,0.837981245,0.9292723724308803,1.3020256586122787,18.336394692409087,18.33720510587559,18.05959413086034,0.00013174387032887462,17.069602002812328,0.0003914283937599572,20.234769699655978,3.470988282415196,3.287843046937368,3.3984773557640486,3.766387182400496,3.4333011705993406,3.7768098733075504,13.23177899736758,0.1828087358818801,20.89032667509692,0.00809545,0.0,0,0,0.0,0.3155791017178915,0.0,0.3155791017178915,0.0,1.08965,1.8399109885194296,79.11617250633547,0.9453352712856576,0.296625290747988,0.8794336000674039,82.11880655413655,42.24765598546831,0,0.0,0.0,0.0,0.011,76,4.424846632,0,2.75,0.053921569,12.095146671399466,10.351213619358802,5.092437295351322
7.26760624,2.234506172839506,11845.513737000016,33676.45402915843,1229.098875999999,249.26712947728248,25448.21742793188,285.1430041152263,61.83745695757576,249.4552150308032,7.536784533333334,1.5107098756198938,147.47628100486756,2.791929583904894,0.0009732118579104128,-316.9920541,576.9002056786579,-0.333002566,-9.465722626,20.496728774680403,-0.9418846,1.3516831359866844e-05,2.5400041040632613,5.197299150258179,0.00013354154518950635,0.0204152828520666,0.0106112841580528,0.0134119466781671,0.002034766,0.053105231,0.097827477,-0.078931317,0.081098311,0.1915381673659544,0.0508598714528369,0.9800198894568088,0.9672880106563568,0.8013822562198245,1.084279303893826,0.9807507458524116,1.10545424286717,0.8529203196249954,15.262524734210212,15.275914868874818,14.78365107725557,0.0005528631276564968,15.156311824160902,0.00017765921401209568,14.228510850334184,2.992874754286704,3.5910103285544785,3.740343627432265,3.573808288338898,3.782107252682822,2.9919410159399757,10.519482214354094,0.1627680183608857,14.343275186251242,0.007265401,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.14449,1.3543563772721816,56.88296784543163,0.7146328509710711,1.5387902495973966,0.6620977117827789,35.333447128026975,42.24119427482791,1,3.3635856610148585,0.0,0.4999999999999999,0.003,84,4.300680995219929,0,2.777777777777778,0.063131313,12.350636085721526,10.369640025590376,0.0
5.9076303,0.0,38842.42329900024,114197.05380862798,6399.962107999996,972.653425636796,135701.2985329999,2085.249999999999,46.82622056302521,160.16417083959044,7.904734008,1.167651171232648,166.6067107714013,3.8250350631136096,0.2064072952516024,-1167.343435,2284.485520112559,1.6874271796133806,-19.11600265,45.09040087291109,-13.73563171,0.00020295702581278507,2.4957403557909426,3.419888503162513,0.009187121,0.005053575,0.034788565,0.2402561460726498,0.015347427,0.070814555,0.071956576,0.03150067,0.024347749297467,0.033896019,0.1208792769223726,1.5062072034161118,1.169348702579153,0.9212361348617472,1.450453232271773,0.9299719551631592,1.1418097155485958,1.3315789148555044,61.94016907983121,61.93987935116852,62.542465148980725,0.001519167,63.325601955675566,0.001395865,63.04595810913525,3.608633331949593,3.615807876,3.773310285751737,3.6072406509713617,3.815860296523706,4.865103724097853,36.93334446865263,0.1894248736878253,56.06519281120048,0.0101043183641175,12.08877684924342,2,1,0.7314785156833915,-0.655001322,0.0,0.0,0.0,1.32703,1.469742342979942,288.06949922406864,0.6551068895165352,2.626260963565953,0.6478135097658396,40.63944434500151,59.95483093412022,0,0.0,0.0,3.677055386613141,0.9810000000000002,178,4.983606621708336,0,9.625,0.064166667,13.013938170373658,11.208585415622304,30.33376522092972
4.746177561,0.0,13676.567174254396,27026.509343581416,1003.2894520000008,188.52318677373512,20443.23953729695,463.5401234567902,97.14348018843464,206.30923163039247,7.949897954198478,1.4844345415254734,159.13870120588092,3.988137310338328,0.2217142689117621,665.9061699731188,-535.1033404,0.6964322692043823,1.855212387488589,-16.40508926,-8.85235176,0.001863145,1.3559052524515869,-4.213412129,-0.007728659,-0.02532125,0.090275497,0.048298578,0.1298058570603349,0.010613628923244,-0.084254825,0.0594808860885281,-0.088359281,-0.068751237,0.0237044696613154,1.1049914963943843,0.9493248302989264,1.0152081691664538,1.0506504084215835,1.062915704050727,0.974884050615104,1.2163564973087706,20.40706147,20.406048201998804,20.74319542944718,0.006105807,21.19025153963784,0.005199699,21.16440719227444,3.305239844800609,3.351458005395287,3.516986363196968,3.329745590631473,3.567544649000403,3.8435883093844367,14.272555654188595,0.1775455423771136,19.533458730143607,0.0064611,0.0,1,0,0.5844070058578987,1.0892649864493402,14.722325743912767,1.532982962360311,14.722325743912767,1.18387,1.7569725693838665,94.87651874672878,0.9283550608452368,0.4123085649350084,0.8746103866867886,53.55775362741973,29.57181991870552,0,0.0,0.0,0.7598356856515924,-0.066,92,4.4942386252808095,0,2.6875,0.0471491228070175,12.308353925203194,10.491635263364431,5.148034333078169
