pIC50,maxaasN,AATS6m,AATS5v,AATS5e,AATS5i,ATSC8c,ATSC5m,ATSC5e,ATSC6p,ATSC8i,ATSC3s,AATSC8c,AATSC4v,AATSC3e,AATSC4p,AATSC2i,MATS4m,MATS5e,MATS8i,MATS5s,GATS5c,GATS5m,GATS5e,GATS5p,GATS6i,GATS5s,VE2_Dze,VR3_Dzp,SpMax5_Bhs,AVP-7,SsOH,nHdsCH,minHBint10,minsF,maxHBint10,ETA_EtaP_F,BIC3,MIC5,ZMIC5,khs.aasN,MDEC-34,MDEO-12,MDEN-23,MLFER_A,piPC2,nF12Ring,GGI3,JGI3,WTPT-4
7.22184875,2.01201766917808,62.94417798857141,166.29425,7.656038645161304,161.5565307466962,0.043024096,530.2834675,0.7265864472656491,1.377774410490999,10.74614983777849,-17.0638646,0.0003585341325209,-8.081387693,-0.012609044,-0.037327428,0.108423658640413,0.0258119663857644,0.043674135,0.06132691,-0.005163342,0.8477674464780406,0.8071579275195079,0.8965357326686143,0.9277265271611972,0.9575298698596832,0.9421618886812826,0.009269227,20.92595445,3.673490615632448,0.008227867,0.0,0,0.0,0.0,0.0,1.0107,0.8445825067336408,48.15512999,30.277114648336088,1,1.927881882289305,0.2457145036321038,0.4018742173778432,0.003,4.468777561082536,0,2.604166666666667,0.046502976,11.855031369079777
4.866173786,0.0,36.40975752073739,151.48795275232985,7.299315732142861,160.96860179699507,-0.001919649,-179.3412124,-0.43300187,-2.821860495,-8.948498446,-6.135377778,-1.07e-05,-4.035074406,-0.001877046,-0.019473069,-0.046034637,-0.062909597,-0.067007912,-0.034569325,-0.032979084,1.1595397945024897,1.0248494101373586,1.2540752926836525,0.9818658427617578,1.0175144654967454,1.2554234521222518,0.005486929,21.95191995325135,3.5771031622515816,0.0129529463715653,0.0,0,0.5959133135268864,0.0,0.5959133135268864,0.82575,0.8102227779924229,38.55629857085236,25.777876231834767,0,0.0,0.0,0.2390457218668787,0.371,4.460144413937834,0,1.875,0.034090909,2.544397069
5.043351421,0.0,39.00611282766025,148.83776125603998,7.466788201257868,161.53107836092354,-0.05048984,-523.3838696,-0.064922367,-0.671040019,-18.59228934,4.647655807114511,-0.000451,-6.142050703,-0.002900582,-0.017740708,0.054306955,-0.181155433,-0.005364364,-0.090908464,-0.054811235,0.9718554051461424,1.055414598992504,0.8316062633665576,1.0412400619649889,0.8856678403446419,0.912051263076418,0.005793608,16.377759938141512,3.674183705,0.0110389934517493,0.0,0,0.0,13.078764549127802,0.0,0.87759,0.8116022765911244,38.49087264932288,28.244289556934948,0,1.7169934312484405,0.0,0.0,0.003,4.262679877041316,0,3.333333333333333,0.066666667,5.135625638094094
4.935916564,0.0,28.47376303571424,105.43209203549009,8.050051710144924,173.8993231377417,-0.014892685,-226.6238407,-0.492307,-0.12047022,-1.613246402,37.18555555555559,-0.000621,-1.997317113,0.0252626944444444,-0.005992835,-0.115825827,-0.035723539,-0.047157551,-0.064408762,-0.040868489,1.0957576805619054,1.071816993763936,1.1116832348594583,0.8710817116907477,0.7898062320935891,1.110734485672346,0.00464074,6.289482116067246,4.523074669821284,0.019256196,44.88031076782565,0,0.0,0.0,0.0,0.53893,0.8676569579894745,29.49681048426712,21.892987680622948,0,0.0,0.0,0.0,1.215,2.772588722239781,0,1.125,0.066176471,12.236094021779689
4.561299467,0.0,60.16235203731342,167.46933041471652,7.227521862745107,158.83421774095368,0.069530453,1619.9230928072889,0.2956228906249978,-3.949008837,-28.18319748,-2.736157104,0.0005994004543342,-6.412616908,-0.001984434,-0.050741697,0.3960689825761486,-0.09266034,0.098473223,-0.151276214,0.1154286035027608,0.8179150792974542,0.6459870434010346,0.8131180287355007,0.7018755236145826,1.0838636915694977,0.7679113685558699,0.0123409231608833,12.514489313572213,2.950274250668248,0.0162549111379202,0.0,0,0.0,0.0,0.0,0.69267,0.7922514146413246,39.86026754465957,26.310025524348973,0,0.0,0.0,0.0,0.003,4.077537444,0,1.1875,0.0276162790697674,0.0
4.397940009,0.0,82.44154187771917,196.0099988935679,7.727065117647065,158.08883879230515,0.131604074650288,-837.1438455,-0.702271,-1.272442329,-41.55675679,8.365775532919425,0.001624742,-8.127562675,-0.001000834,-0.022217628,0.8443083221830802,-0.240101652,-0.0442422,-0.173650307,-0.017757729,0.5516421135396599,1.2920913784776489,0.7263166472307632,1.22006234634212,0.7571670469454628,0.7232548709430489,0.004974464,18.946289828303264,3.991992668799565,0.016971586,8.729046248544323,0,0.0,12.76217115,0.0,1.00205,0.8669731193221302,50.00836444,32.98139140954029,0,1.359256208537008,0.6666666666666667,0.0,0.502,4.397530821209847,0,1.979166666666667,0.0449810606060606,7.789242609
6.279014256,0.0,112.75727832432432,218.3079177164404,8.666324449,163.4453665345905,-0.01684865,764.6856606967896,1.1112420951248514,0.7332575,-10.18085416,-4.75939772,-0.000468,-3.94149222,-0.025938316,-0.011092858,-0.281809336,-0.15302749,0.157619332362944,-0.189907774,-0.281414882,1.1209480347789136,0.9368434852218598,0.9862495379573636,1.0401630017276349,0.7847702943068027,1.4954236006928463,0.0004816267603659,10.43727810562724,3.773638565729392,0.00601266,9.747843799807786,0,5.731246788908225,0.0,5.731246788908225,1.12389,0.9125536634448932,53.78049438751361,28.990366108024418,0,0.0,0.0,0.1999999999999999,0.2970000000000001,4.043051268,0,1.625,0.05078125,9.929058491706549
6.259637311,0.0,112.75727832432432,218.3079177164404,8.666324449,163.44536653459048,-0.01684865,764.6856606967897,1.1112420951248514,0.7332575,-10.18085416,-4.75939772,-0.000468,-3.94149222,-0.025938316,-0.011092858,-0.281809336,-0.15302749,0.157619332362944,-0.189907774,-0.281414882,1.1209480347789136,0.93684348522186,0.9862495379573636,1.0401630017276349,0.7847702943068026,1.4954236006928463,0.0004816267603659,10.43727810562724,3.7736385657293994,0.00601266,9.747843799807784,0,5.731246788908225,0.0,5.731246788908225,1.12389,0.9125536634448932,53.78049438751361,28.990366108024418,0,0.0,0.0,0.1999999999999999,0.2970000000000001,4.043051268,0,1.625,0.05078125,9.929058491706549
4.535734066,0.0,61.53790005785122,171.4137098729525,7.293818166666678,159.3943434100725,0.0714209,1700.3269343564025,0.6525524917355364,-4.718515877,-5.27536105,-3.306108063,0.0007935655565541,-4.679900851,-0.003500499,-0.045707216,0.3782801860594686,-0.068626112,0.1453962258312258,-0.038192006,0.1470581834073909,0.8149391150475278,0.6299777773497622,0.6798545175985838,0.7249836643765237,1.091679286531558,0.7583575030852955,0.013148330657533,11.846196450920592,2.908404547422505,0.0147531845446818,0.0,0,0.0,0.0,0.0,0.73908,0.7834832319252222,41.03872835790791,26.727248317419576,0,0.0,0.0,0.0,0.003,4.060443010546419,0,1.1875,0.0289634146341463,0.0
5.332547047,0.0,43.23028360344821,133.84236241867342,7.556320031007759,167.28824160567132,0.151558956406632,-436.424977,-2.948479373,1.830417595,-0.36351225,-17.78018272,0.0005966888047505,-4.110553302,-0.000764,-0.032912276,0.1387797684735898,0.0208666749546097,-0.215323354,-0.001037595,-0.201003161,1.5400732992049313,1.1058855073803768,1.7816720260542942,0.8200984794463227,0.8796288035743798,1.877199737306238,5.714383214982423e-18,52.44495646725001,3.8770937639009055,0.0113579477043391,9.557615656484185,0,0.0,0.0,0.0,0.91911,0.6823238587499771,31.32759686192008,43.31930474132171,0,2.032530992618459,0.0,0.0,0.259,4.262679877041316,0,3.25,0.06372549,7.465317734919296
5.4202164,0.0,167.27663292105262,247.1240700673021,8.909795645833334,161.32704299906456,0.040126019,-48.28996097,1.000022918367348,-1.049586234,-6.142144172,-7.216403497,0.001114612,-3.037920022,-0.021003942,-0.005932817,-0.251385941,0.065551155,0.1377985107477606,-0.132391513,-0.023517904,1.0513618216195015,1.0068283658068116,0.9566898611678356,1.1701116543125971,0.8014208443525744,1.4278814645287945,0.003022225,10.736440057782344,3.578888107051281,0.006754313,20.48161289149862,0,0.0,0.0,0.0,1.10162,0.8884208584245435,67.62689554129793,35.541401552721865,0,0.0,0.0,0.0,0.7400000000000001,4.110873864173311,0,2.6875,0.070723684,7.6188254566667615
4.301029996,0.0,68.94397684615377,171.98849296135552,7.662007259259268,162.29677335609807,-0.10292901,1195.1957195697182,1.939521664932364,11.55081991188924,-25.48710226,7.321499381217266,-0.00088,-3.852075593,-0.006811841,-0.005189361,0.3044883019936326,0.043597126,0.1715869664575438,-0.143237194,0.093844049,0.9385528221525612,0.8660998191038985,0.8899369200323826,1.0091554901875797,0.8338373930226053,1.0222339543242722,0.0119390499955465,20.78255412769554,3.510670061786079,0.005909219,0.0,1,0.0,0.0,0.0,1.08673,0.8335551373163747,47.37063791565325,30.778693009452407,0,0.0,0.090909091,1.105209449592116,0.003,4.4942386252808095,0,2.6875,0.0455508474576271,5.642723641683956
5.083019953,0.0,111.62811246489372,204.3892892737861,8.270680094117656,166.2738426428898,-0.10106269,-2461.098519,2.021618818594104,-1.107628046,-20.75979056,76.46575844931553,-0.001203127,4.6681126880458015,0.0335321519274376,0.0346083877075229,-0.466075269,-0.001644229,0.1477826469318454,-0.079977724,0.1392559020204691,1.2770030613821657,1.036534230066176,0.8791395342663341,1.031075762939404,1.0955518700823612,0.9167071043384054,0.0102775624324287,16.385747039259453,3.925038900116872,0.006064273,0.0,0,0.0,13.65623527,0.0,0.97807,0.8718973250571013,60.19012462468428,32.38313742744428,0,0.0,0.3333333333333333,0.0,0.158,4.189654742026425,0,2.0972222222222223,0.051151762,5.515079010627492
5.598599459,0.0,40.09837663440862,135.5929372002124,7.3887660740740895,164.5015000540606,-0.000444,-110.9057357,-0.362491828,1.739421889211432,-20.12277128,-3.811166644,-5.62e-06,-8.291368426,-0.009725896,-0.032290345,-0.051547071,-0.185684929,-0.054444359,-0.16943703,-0.099422863,0.9557648288301884,1.0027001998505285,0.9235896932562034,1.02715815452503,0.7395537500460985,0.8960835381436257,2.886579864025407e-17,36.271838288952985,3.434341870776292,0.0106194349447351,0.0,0,0.0,0.0,0.0,0.87874,0.7215719452811812,31.056814286406983,37.68010679529673,0,0.0,0.0,0.0,0.357,4.043051268,0,0.875,0.02734375,6.135740189608926
